,link,brand,product,originalPrice,Garanti Tipi,Dahili Hafıza,RAM Kapasitesi,Ekran Boyutu,Pil Gücü (mAh),Mobil Bağlantı Hızı,Ön Kamera Çözünürlüğü,Kamera Çözünürlüğü,Ön Kamera Sayısı,Ekran Çözünürlüğü,Ekran Teknolojisi,Ön Kamera Çözünürlük Aralığı,Görüntü Teknolojisi,Ana Kamera Flaş,Ön Kamera Flaş,Ekran Cinsi,Arka Kamera Sayısı,Ekran Boyut Aralığı,İşletim Sistemi,Çift Hat,Kablosuz Şarj,Yüz Tanıma,Dokunmatik Ekran,Garanti Süresi,Şarj Girişi,Ana Kamera Çözünürlük Aralığı,NFC,Ekran Yenileme Hızı,Kulaklık Girişi,Şarj Hızı,Arttırılabilir Hafıza (Hafıza Kartı Desteği),Batarya Kapasitesi Aralığı,Parmak İzi Okuyucu,Suya/Toza Dayanıklılık,Renk,Yapay Zeka,Video Kayıt Çözünürlüğü,Menşei,Cep Telefonu Modeli,Radio,CPU Aralık,Görüntülü Konuşma,Kozmetik Durum,Tamir Edilebilirlik,CE Uygunluk Sembolu,İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı,Üretici Bilgisi
10,https://www.trendyol.com/xiaomi/redmi-14c-8-gb-ram-256-gb-mavi-xiaomi-turkiye-garantili-p-869864068,Xiaomi Redmi 14C 8 GB RAM 256GB Mavi (Xiaomi Türkiye Garantili),Redmi 14C 8 GB RAM 256,,Resmi Distribütör Garantili,256 GB,8 GB,6 - 8 inç,5160,4.5G,13 MP,50 MP +12 MP +10 MP,1,,,10 - 15 MP,3LCD,Var,Var,,2,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Yok,120 Hz,USB Type-C,10-20 W,,4500-5000 mAh,Var,Yok,Mavi,,1080p (Full HD),TR,,,,,,,,,
11,https://www.trendyol.com/samsung/galaxy-a55-256-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-816445689,Samsung Galaxy A55 256 GBMavi Cep Telefonu (Samsung Türkiye Garantili),Galaxy A55 256 GB,,Samsung TR Garantili,256 GB,8 GB,"6,6 inç",5000,5G,32 MP,50 MP,1,FHD+,FHD+,20 - 40 MP,AMOLED,Var,Yok,Super AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,20 - 40 MP,Var,120 Hz,USB Type-C,20-40 W,Var,5000-6000 mAh,Var,Var,Mavi,Yok,1080p (Full HD),TR,Xiomi Redmi Note 12,,,,,,,,
12,https://www.trendyol.com/realme/note-60-4gb-128gb-mermer-siyahi-p-863648008,realme Note 60 4gb+128gbMermer Siyahı,Note 60 4gb+128gb,,Resmi Distribütör Garantili,128 GB,4 GB,"6,7 inç",5000,4G,5 MP,20 MP ve üstü,1,HD,HD,5 - 10 MP,LCD,Var,,IPS LCD,1,,Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,20 - 40 MP,Yok,60 Hz,3.5 mm,10-20 W,Var,5000-6000 mAh,Var,Yok,Siyah,Yok,1080p (Full HD),,,,,,,,,,
13,https://www.trendyol.com/xiaomi/redmi-note-14-8-128-gb-midnight-black-xiaomi-turkiye-garantili-p-894501052,Xiaomi Redmi Note 14 8 /128GB Midnight Black (Xiaomi Türkiye Garantili),Redmi Note 14 8 /128,,Xiaomi Türkiye Garantili,128 GB,8 GB,,,4.5G,,,,,FHD+,,,Var,Yok,,3,,Android,Var,,,,2 Yıl,,,,,,,,,,,Siyah,,,,,,,,,,,,
14,https://www.trendyol.com/xiaomi/redmi-14c-8-gb-ram-256-gb-yesil-xiaomi-turkiye-garantili-p-869864069,Xiaomi Redmi 14C 8 GB RAM 256GB Yeşil (Xiaomi Türkiye Garantili),Redmi 14C 8 GB RAM 256,,Resmi Distribütör Garantili,256 GB,8 GB,6 - 8 inç,5160,4.5G,13 MP,50 MP +12 MP +10 MP,1,,,10 - 15 MP,3LCD,Var,Var,,2,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Yok,120 Hz,USB Type-C,10-20 W,,4500-5000 mAh,Var,Yok,Yeşil,,1080p (Full HD),TR,,,,,,,,,
15,https://www.trendyol.com/samsung/galaxy-a16-256-gb-8-gb-ram-gri-cep-telefonu-turkiye-garantili-p-882102633,Samsung Galaxy A16 256 Gb 8Gb Ram Gri Cep Telefonu ( Türkiye Garantili),Galaxy A16 256 Gb 8,,Samsung TR Garantili,256 GB,8 GB,"6,71 inç",5000,5G,40 - 60 MP,13 MP,Yok,FHD+,,Yok,AMOLED,Var,Var,Super AMOLED,Yok,,Android,Var,Var,Var,Yok,2 Yıl,,10 - 15 MP,Var,120 Hz,,10-20 W,Var,5000-6000 mAh,Var,Var,Gri,Var,,,,,,,,,,,
16,https://www.trendyol.com/samsung/galaxy-s24-fe-128-gb-gri-cep-telefonu-samsung-turkiye-garantili-p-857140578,Samsung Galaxy S24 FE 128 GBGri Cep Telefonu (Samsung Türkiye Garantili),Galaxy S24 FE 128 GB,,Resmi Distribütör Garantili,128 GB,8 GB,6 - 8 inç,4000 - 5000,,10 - 20 MP,50 MP,1,FHD+,,10 - 15 MP,AMOLED,Var,,AMOLED,3,6.5'' - 7'',Android,Var,Var,Var,Var,2 Yıl,USB Type-C,10 - 15 MP,Var,60 Hz,,10-20 W,Var,4000-4500 mAh,Var,Var,Gri,Yok,,,,,,,,,,,
17,https://www.trendyol.com/poco/x6-pro-5g-512gb-12gb-ram-siyah-cep-telefonu-turkiye-garantili-p-794323021,POCO X6 Pro 5g 512gb 12gb RamSiyah Cep Telefonu ( Türkiye Garantili),X6 Pro 5g 512gb 12gb Ram,,Resmi Distribütör Garantili,512 GB,12 GB,"6,67 inç",4000 - 5000,5G,0.3 MP - 1.5 MP,5 - 10 MP,1,FHD+,DLED,5 - 10 MP,AMOLED,Var,Var,AMOLED,1,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Yok,120 Hz,USB Type-C,60-80 W,Var,4500-5000 mAh,Var,Yok,Siyah,Var,1080p (Full HD),AD,,,,,,,,,
18,https://www.trendyol.com/samsung/galaxy-a16-6-gb-ram-128-gb-gri-samsung-turkiye-garantili-p-879171111,Samsung Galaxy A16 6 GB RAM128 GB Gri (Samsung Türkiye Garantili),Galaxy A16 6 GB RAM,,Samsung TR Garantili,128 GB,6 GB,"6,7 inç",5000,4.5G,10 MP,50 MP,1,FHD+,FHD+,10 - 15 MP,AMOLED,Var,Yok,,1,6.5'' - 7'',Android,Var,,,Var,2 Yıl,,40 - 60 MP,Var,120 Hz,,,,5000-6000 mAh,,Var,Gri,,,TR,,,,,,,,,
19,https://www.trendyol.com/xiaomi/14t-pro-512-gb-siyah-xiaomi-turkiye-garantili-p-859623150,Xiaomi 14T Pro 512 GB Siyah(Xiaomi Türkiye Garantili),14T Pro 512 GB Siyah,,Xiaomi Türkiye Garantili,512 GB,12 GB,"6,67 inç",5000 ve üstü,5G,8 MP ve üstü,50 MP,1,HD+,Dinamik AMOLED,40 - 60 MP,LCD,Var,Yok,AMOLED,3,6'' - 6.5'',Android,Yok,Var,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Var,144 Hz,USB Type-C,100-120 W,Yok,4500-5000 mAh,Var,Var,Siyah,Var,1080p (Full HD),CN,,,,,,,,,
20,https://www.trendyol.com/reeder/s23-pro-max-256-gb-8gb-ram-siyah-cep-telefonu-turkiye-garantili-p-771120433,Reeder S23 Pro Max 256 Gb 8gbRam Siyah Cep Telefonu ( Türkiye Garantili),S23 Pro Max 256 Gb 8gb,,Reeder Türkiye Garantili,256 GB,8 GB,"6,51 inç",5000,4.5G,20 - 40 MP,48 MP + 2 MP,1,HD+,HD+,20 - 40 MP,LCD,Var,Yok,Full HD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Yok,60 Hz,USB Type-C,10-20 W,Var,5000-6000 mAh,Var,Yok,Siyah,Yok,1080p (Full HD),TR,Reeder S23 Pro Max,,,,,Yetkili Servis ile Tamiri Gerekir.,Ürün görselinde bulunmuyor,Detayını Gör,Detayını Gör
21,https://www.trendyol.com/xiaomi/redmi-note-14-pro-12gb-ram-512gb-rom-siyah-p-891692667,"Xiaomi Redmi Note 14 Pro 12GB RAM 512GB ROM, Siyah",Redmi Note 14 Pro,,Xiaomi Türkiye Garantili,512 GB,12 GB,"6,67 inç",5000 ve üstü,4G,32 MP,20 MP ve üstü,1,FHD+,FHD+,20 - 40 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,120 MP ve üstü,Var,120 Hz,3.5 mm,40-60 W,Var,5000-6000 mAh,Var,Var,Siyah,,1080p (Full HD),CN,,,,,,,,,
22,https://www.trendyol.com/samsung/galaxy-a25-5g-8-gb-ram-256-gb-siyah-p-793616434,Samsung Galaxy A25 5g 8 GbRam 256 Gb Siyah,Galaxy A25 5g 8 Gb,,Resmi Distribütör Garantili,256 GB,8 GB,"6,5 inç",5000,4.5G,10 - 20 MP,50 MP,1,FHD+,Dinamik AMOLED,15 - 20 MP,AMOLED,Var,Yok,Super AMOLED,1,7'' Üstü,Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Var,120 Hz,3.5 mm,20-40 W,Yok,5000-6000 mAh,Var,Var,Siyah,Yok,2160p (Ultra HD) 4K,TR,iPhone 12,,,,,,,,Detayını Gör
23,https://www.trendyol.com/samsung/galaxy-s24-ultra-256-gb-titanyum-gri-samsung-turkiye-garantili-p-792557583,Samsung Galaxy S24 Ultra 256GB Titanyum Gri (Samsung Türkiye Garantili),Galaxy S24 Ultra 256,,Samsung TR Garantili,256 GB,12 GB,"6,8 inç",5000,5G,10 - 20 MP,200 MP + 8 MP + 2 MP,1,QHD+,Dinamik AMOLED,10 - 15 MP,AMOLED,Var,Var,AMOLED,5,6.5'' - 7'',Android,Var,Var,Var,Var,2 Yıl,USB Type-C,120 MP ve üstü,Var,120 Hz,USB Type-C,40-60 W,Yok,5000-6000 mAh,Var,Var,Gri,Var,4320p (Ultra HD) 8K,,Samsung Galaxy S24 Ultra,,,,,,,,
24,https://www.trendyol.com/xiaomi/redmi-13-8-gb-ram-256-gb-mavi-cep-telefonu-xiaomi-turkiye-garantili-p-836127381,Xiaomi Redmi 13 8 GB RAM 256GB Mavi Cep Telefonu (Xiaomi Türkiye Garantili),Redmi 13 8 GB RAM 256,,Xiaomi Türkiye Garantili,256 GB,8 GB,"6,5 inç",5000 ve üstü,4.5G,13 MP,108 MP + 2 MP + 2MP,1,FHD+,HD+,10 - 15 MP,LCD,Var,Var,LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,100 -120 MP,Var,90 Hz,3.5 mm,10-20 W,Var,5000-6000 mAh,Var,Var,Mavi,Yok,,,,,,,,,,,
25,https://www.trendyol.com/xiaomi/redmi-10-4-128-gb-carbon-gri-p-242166444,Xiaomi Redmi 10 4/128 GbCarbon Gri,Redmi 10 4/128 Gb,,Resmi Distribütör Garantili,128 GB,4 GB,"4 - 4,5 inç",5000,4G,8 MP,5 MP ve altı,1,FHD+,FHD+,5 - 10 MP,LCD,Var,Var,LCD,4,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Yok,90 Hz,3.5 mm,10-20 W,Yok,5000-6000 mAh,Var,Yok,Gri,Yok,1080p (Full HD),,Xiaomi Redmi 10,,,,,,,,
26,https://www.trendyol.com/poco/x7-pro-12gb-ram-512gb-rom-siyah-p-887495923,"POCO X7 Pro 12GB RAM 512GBROM, Siyah",X7 Pro 12GB RAM 512GB,,Xiaomi Türkiye Garantili,512 GB,12 GB,6 inç ve üstü,6000,5G,5 - 8 MP,20 MP ve üstü,1,FHD+,FHD+,15 - 20 MP,AMOLED,Var,Var,LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Var,120 Hz,3.5 mm,80-100 W,Var,6000-7000 mAh,Var,Var,Siyah,Var,1080p (Full HD),CN,,,,,,,,,
27,https://www.trendyol.com/reeder/p13-blue-max-2022-128-gb-siyah-turkiye-garantili-p-444281009,Reeder P13 Blue Max 2022 128Gb Siyah ( Türkiye Garantili),,,Reeder Türkiye Garantili,128 GB,4 GB,"4 - 4,5 inç",1500 ve altı,4.5G,5 MP,5 MP ve altı,1,FHD+,,5 - 10 MP,,Yok,Yok,LCD,3,6'' - 6.5'',Android,Var,Yok,Yok,Var,2 Yıl,Micro-USB,15 - 20 MP,Yok,60 Hz,3.5 mm,10-20 W,Yok,3500-4000 mAh,Yok,Yok,Siyah,Yok,,,,,,,,,,,
28,https://www.trendyol.com/apple/iphone-13-128-gb-siyah-cep-telefonu-apple-turkiye-garantili-p-150058735,Apple iPhone 13 128 GB SiyahCep Telefonu (Apple Türkiye Garantili),iPhone 13 128 GB Siyah,,Apple Türkiye Garantili,128 GB,4 GB,"6,1 inç",3095,5G,12 MP,12 MP + 12 MP,1,FHD+,QLED,10 - 15 MP,OLED,,,OLED,2,6'' - 6.5'',iOS,Yok,Var,Var,Var,2 Yıl,Lightning,10 - 15 MP,Var,60 Hz,Lightning,10-20 W,,3000-3500 mAh,Var,Var,Siyah,Var,1080p (Full HD),,iPhone 13,Yok,2.5-3.2 GHz,Var,,,,,
29,https://www.trendyol.com/alcatel/1-5033-f-16gb-mavi-cep-telefonu-alcatel-turkiye-garantili-p-452589993,Alcatel 1 5033-f 16GB MaviCep Telefonu (Alcatel Türkiye Garantili),1 5033-f 16GB Mavi,,Resmi Distribütör Garantili,16 GB,1 GB,"4 - 4,5 inç",1500 ve altı,4.5G,Yok,5 MP ve altı,1,HD,,5 MP ve altı,LCD,Var,,LCD,1,5'' - 5.5'',Android,Var,Yok,Yok,Var,2 Yıl,Micro-USB,5 MP ve altı,Yok,60 Hz,3.5 mm,10-20 W,Yok,1000-2000 mAh,Yok,Yok,Mavi,Yok,,,Alcatel 1S 2020,,,,,,,,
30,https://www.trendyol.com/samsung/galaxy-a35-256-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-816445643,Samsung Galaxy A35 256 GBMavi Cep Telefonu (Samsung Türkiye Garantili),Galaxy A35 256 GB,,Samsung TR Garantili,256 GB,8 GB,"6,6 inç",5000,5G,13 MP,50 MP,1,FHD+,FHD+,10 - 15 MP,AMOLED,Var,Yok,Super AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,15 - 20 MP,Var,120 Hz,USB Type-C,20-40 W,Var,5000-6000 mAh,Var,Var,Mavi,Yok,1080p (Full HD),TR,,,,,,,,,
31,https://www.trendyol.com/xiaomi/redmi-note-14-8gb-ram-256gb-rom-siyah-p-891692672,"Xiaomi Redmi Note 14 8GB RAM256GB ROM, Siyah",Redmi Note 14 8GB RAM,,Xiaomi Türkiye Garantili,256 GB,8 GB,"6,67 inç",5000 ve üstü,4G,20 MP,,1,HD,HD,20 - 40 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,100 -120 MP,Var,120 Hz,3.5 mm,20-40 W,Var,5000-6000 mAh,Var,Var,Siyah,,1080p (Full HD),TR,,,,,,,,,
32,https://www.trendyol.com/xiaomi/14t-256-gb-gri-xiaomi-turkiye-garantili-p-859623145,Xiaomi 14T 256 GB Gri (XiaomiTürkiye Garantili),14T 256 GB Gri (Xiaomi,,Xiaomi Türkiye Garantili,256 GB,12 GB,"6,67 inç",5000 ve üstü,5G,20 MP,50 MP,1,HD+,Dinamik AMOLED,40 - 60 MP,AMOLED,Var,Yok,AMOLED,4,6'' - 6.5'',Android,Yok,Var,Var,Var,2 Yıl,USB Type-C,20 - 40 MP,Var,144 Hz,USB Type-C,10-20 W,Var,5000-6000 mAh,Var,Var,Gri,Var,1080p (Full HD),,,,,,,,,,
33,https://www.trendyol.com/xiaomi/redmi-13-8-gb-ram-256-gb-sari-cep-telefonu-xiaomi-turkiye-garantili-p-836127383,Xiaomi Redmi 13 8 GB RAM 256GB Sarı Cep Telefonu (Xiaomi Türkiye Garantili),Redmi 13 8 GB RAM 256,,Xiaomi Türkiye Garantili,256 GB,8 GB,"6,5 inç",5000 ve üstü,4.5G,13 MP,108 MP + 2 MP + 2MP,1,FHD+,HD+,10 - 15 MP,LCD,Var,Var,LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,100 -120 MP,Var,90 Hz,3.5 mm,10-20 W,Var,5000-6000 mAh,Var,Var,Altın,Yok,,,,,,,,,,,
34,https://www.trendyol.com/samsung/galaxy-a55-256-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-816445676,Samsung Galaxy A55 256 GBSiyah Cep Telefonu (Samsung Türkiye Garantili),Galaxy A55 256 GB,,Samsung TR Garantili,256 GB,8 GB,"6,6 inç",5000,5G,32 MP,50 MP,1,FHD+,FHD+,20 - 40 MP,AMOLED,Var,Yok,Super AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,20 - 40 MP,Var,120 Hz,USB Type-C,20-40 W,Var,5000-6000 mAh,Var,Var,Siyah,Yok,1080p (Full HD),TR,Xiomi Redmi Note 12,,,,,,,,
35,https://www.trendyol.com/reeder/p13-blue-max-l2022-2-32gb-siyah-cep-telefonu-p-277083300,Reeder P13 Blue Max L20222/32gb Siyah Cep Telefonu,P13 Blue Max L2022,,Resmi Distribütör Garantili,32 GB,2 GB,"4 - 4,5 inç",3950,4.5G,5 - 8 MP,5 MP ve altı,1,FHD+,FHD+,5 - 10 MP,AMOLED,Var,Yok,IPS LCD,3,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Yok,60 Hz,3.5 mm,60-80 W,Var,3500-4000 mAh,Var,Yok,Siyah,Yok,1080p (Full HD),,Reeder P13 Blue Max Lite,,,,,,,,
36,https://www.trendyol.com/xiaomi/redmi-note-12-128-gb-8-gb-ram-buz-mavisi-cep-telefonu-xiaomi-turkiye-garantili-p-761535602,Xiaomi Redmi Note 12 128 GB 8GB RAM Buz Mavisi Cep Telefonu (Xiaomi Türkiye Garantili),Redmi Note 12 128 GB 8,,Xiaomi Türkiye Garantili,128 GB,6 GB,"6,7 inç",5000,5G,8 - 14 MP,20 MP ve üstü,1,FHD+,FHD+,10 - 15 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Var,120 Hz,USB Type-C,20-40 W,Var,5000-6000 mAh,Var,Yok,Mavi,Yok,1080p (Full HD),TR,Xiomi Redmi Note 12,,,,,,,,
37,https://www.trendyol.com/honeywell/hw-eda51-0-b732sqgrk-el-terminali-beyaz-renk-saglik-sektoru-icin-p-466310356,HONEYWELL Hw-eda51-0-b732sqgrk El Terminali-beyaz Renk (sağlık Sektörü Için),,,Resmi Distribütör Garantili,32 GB,3 GB,"4 - 4,5 inç",1500 ve altı,4G,Yok,5 MP ve altı,1,HD,HD,5 - 10 MP,LED,Var,Yok,HD,1,5'' - 5.5'',Android,Yok,Yok,Yok,Var,2 Yıl,USB Type-C,15 - 20 MP,Var,60 Hz,3.5 mm,10-20 W,Var,2000-3000 mAh,Yok,Var,Beyaz,Yok,,,,,,,,,,,
